;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;IDIOMA;RENDA;NOTA_CN;NOTA_MT;NOTA_CH;NOTA_LC;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTAS
196;0;0;4;0;0;1;389.5;611.0;507.6;530.8;160.0;160.0;160.0;160.0;200.0;840.0;575.78
197;3;1;1;1;0;1;482.2;445.7;491.8;415.9;120.0;120.0;120.0;120.0;120.0;600.0;487.12000000000006
198;9;1;1;1;1;4;491.6;620.2;583.9;582.0;120.0;120.0;120.0;120.0;160.0;640.0;583.54
199;0;0;3;0;0;0;359.7;457.9;467.8;478.1;100.0;140.0;120.0;140.0;100.0;600.0;472.7
200;1;1;1;0;0;3;569.4;486.8;494.2;551.0;80.0;120.0;120.0;160.0;140.0;620.0;544.28
201;4;1;1;1;1;1;600.0;684.7;686.3;544.7;140.0;160.0;140.0;140.0;160.0;740.0;651.14
202;1;0;4;0;1;3;535.4;539.8;536.2;463.8;160.0;200.0;140.0;180.0;200.0;880.0;591.04
203;10;0;1;0;1;0;352.2;454.6;401.1;480.5;80.0;60.0;60.0;100.0;0.0;300.0;397.68
204;6;0;1;1;1;1;367.7;446.3;397.2;304.2;80.0;80.0;80.0;100.0;40.0;380.0;379.08
205;0;1;4;0;1;7;600.1;664.1;621.9;572.5;120.0;200.0;140.0;160.0;200.0;820.0;655.72
206;1;0;1;1;0;0;454.9;568.7;614.3;535.8;160.0;200.0;180.0;160.0;200.0;900.0;614.74
207;18;0;4;0;0;5;397.7;409.5;522.2;484.9;120.0;120.0;100.0;120.0;0.0;460.0;454.86
208;1;1;1;0;0;1;421.0210572548309;473.9316149941844;400.2;411.1;80.0;120.0;100.0;100.0;100.0;500.0;262.26
209;0;1;4;0;1;3;587.2;649.6;495.4;564.6;140.0;140.0;120.0;140.0;200.0;740.0;607.36
210;1;0;1;0;0;1;526.6;424.9;524.1;504.4;0.0;0.0;0.0;0.0;0.0;0.0;396.0
211;0;1;5;0;1;1;406.9;467.6;601.1;503.0;120.0;140.0;120.0;160.0;140.0;680.0;531.72
212;7;1;4;1;1;2;373.4;628.5;525.4;525.0;120.0;120.0;100.0;120.0;120.0;580.0;526.46
213;6;1;1;1;1;3;630.5;703.1;664.2;613.8;160.0;160.0;140.0;200.0;200.0;860.0;694.3199999999999
214;1;1;4;0;0;0;436.503756429234;442.8454296406975;439.1;433.4;60.0;40.0;40.0;80.0;40.0;260.0;226.5
215;2;1;4;1;1;1;435.6;422.2;449.9;478.7;120.0;120.0;80.0;100.0;40.0;460.0;449.28
216;0;1;3;0;1;1;469.2;411.0;453.1;490.8;100.0;100.0;80.0;120.0;0.0;400.0;444.82
217;2;1;1;1;1;1;433.1;585.2;530.9;527.4;120.0;120.0;120.0;120.0;140.0;620.0;539.32
218;3;1;5;1;1;1;470.3;454.0;487.3;471.6;100.0;160.0;100.0;160.0;160.0;680.0;512.64
219;2;0;1;0;0;0;462.7;440.7;412.9;414.9;100.0;120.0;100.0;100.0;100.0;520.0;450.24
220;1;0;1;1;1;1;458.4;590.2;542.1;526.8;140.0;200.0;160.0;140.0;160.0;800.0;583.5
221;1;0;4;0;0;1;487.7;433.9;370.5;375.4;140.0;120.0;120.0;160.0;140.0;680.0;469.5
