NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO
468.9;463.3;470.3;395.5;100.0;120.0;100.0;120.0;120.0;560.0
432.5;402.3;444.5;472.3;120.0;120.0;120.0;120.0;80.0;560.0
510.9;457.9;546.4;538.0;120.0;140.0;120.0;140.0;120.0;640.0
506.1;436.5;452.9;453.9;80.0;120.0;100.0;120.0;60.0;480.0
609.4;620.3;525.6;778.4;140.0;180.0;160.0;200.0;160.0;840.0
440.9;555.9;563.6;439.2;180.0;180.0;180.0;180.0;160.0;880.0
591.7;653.1;612.7;711.9;180.0;200.0;160.0;160.0;180.0;880.0
478.1;554.2;511.1;499.1;100.0;200.0;120.0;160.0;200.0;780.0
569.0;604.6;502.6;530.2;140.0;120.0;120.0;120.0;140.0;640.0
398.9;353.9;441.2;571.7;140.0;160.0;140.0;160.0;120.0;720.0
491.9;375.2;352.0;535.3;120.0;120.0;120.0;120.0;100.0;580.0
474.7;409.7;419.5;523.0;120.0;100.0;100.0;120.0;0.0;440.0
399.9;384.8;411.4;438.5;60.0;120.0;80.0;120.0;0.0;380.0
415.9;596.9;564.9;702.6;100.0;120.0;120.0;140.0;80.0;560.0
351.8;547.9;403.4;362.0;120.0;120.0;120.0;120.0;140.0;620.0
401.0;346.0;350.2;428.3;100.0;180.0;100.0;120.0;100.0;600.0
542.1;506.0;486.3;384.8;160.0;160.0;140.0;180.0;200.0;840.0
360.6;392.6;400.6;590.1;140.0;180.0;120.0;180.0;120.0;740.0
515.9;543.2;525.4;553.2;80.0;120.0;120.0;120.0;160.0;600.0
559.7;388.9;587.7;620.5;160.0;200.0;160.0;200.0;200.0;920.0
491.2;470.5;479.3;521.1;100.0;120.0;80.0;100.0;120.0;520.0
589.3;587.7;629.3;635.2;120.0;160.0;120.0;160.0;120.0;680.0
407.1;470.4;446.6;635.6;80.0;140.0;80.0;100.0;120.0;520.0
395.2;423.4;440.9;419.1;60.0;120.0;80.0;60.0;0.0;320.0
483.8;418.9;408.4;501.9;80.0;120.0;100.0;120.0;100.0;520.0
525.9;586.1;523.0;630.9;160.0;180.0;160.0;160.0;120.0;780.0
533.6;508.7;528.7;415.5;120.0;40.0;40.0;120.0;40.0;360.0
410.49485268515485;492.4;524.0;507.8857417675858;80.0;120.0;100.0;100.0;120.0;520.0
533.8;537.4;519.3;558.3;120.0;180.0;100.0;160.0;200.0;760.0
566.0;580.7;493.1;590.3;120.0;120.0;100.0;120.0;60.0;520.0
519.1;409.7;499.1;524.4;120.0;120.0;80.0;120.0;100.0;540.0
488.6;611.8;613.9;542.3;120.0;140.0;120.0;140.0;120.0;640.0
610.6;639.5;646.5;679.0;180.0;200.0;160.0;200.0;180.0;920.0
449.5;349.7;494.2;507.8;80.0;120.0;80.0;100.0;120.0;500.0
552.5;500.3;502.5;601.4;120.0;160.0;140.0;160.0;140.0;720.0
412.8;506.7;419.3;450.3;120.0;40.0;40.0;160.0;40.0;400.0
587.0;753.6;630.3;606.5;140.0;180.0;140.0;160.0;120.0;740.0
464.6;537.1;518.3;639.3;100.0;120.0;120.0;120.0;140.0;600.0
667.6;691.1;607.8;741.0;180.0;200.0;160.0;200.0;200.0;940.0
373.8;395.9;482.4;448.3;140.0;100.0;120.0;120.0;80.0;560.0
476.2;569.9;515.0;578.8;160.0;200.0;120.0;180.0;160.0;820.0
507.5;548.7;439.9;623.2;180.0;180.0;180.0;160.0;200.0;900.0
495.3;557.6;509.7;618.7;120.0;140.0;80.0;100.0;120.0;560.0
535.3;544.6;558.0;446.6;120.0;120.0;100.0;120.0;100.0;560.0
372.9;427.9;415.8;450.4;80.0;120.0;80.0;80.0;100.0;460.0
490.2;356.8;436.6;399.1;120.0;120.0;80.0;120.0;120.0;560.0
